"","Ano","Etiqueta","Total","Probabilidad"
"1",2007,"Oncology",1,0.117887695560798
"2",2009,"Clinical neurology",4,0.123504682155418
"3",2009,"Dermatology",2,0.091100170240637
"4",2009,"Endocrinology & metabolism",11,0.195007344701132
"5",2009,"Infectious diseases",7,0.143372115463544
"6",2009,"Medicinal chemistry",1,0.125986119026806
"7",2009,"Medicine, research & experimental",28,0.167049390182286
"8",2009,"Neurosciences",3,0.216585888799979
"9",2009,"Obstetrics & gynecology",8,0.176959852216228
"10",2009,"Oncology",4,0.239630252311354
"11",2009,"Parasitology",3,0.291329648718899
"12",2009,"Pediatrics",1,0.0939130815073885
"13",2009,"Pharmacology & pharmacy",5,0.242331137160689
"14",2009,"Psychiatry",1,0.131056681078298
"15",2009,"Public, enviromental & occupational health",4,0.0922415189387124
"16",2009,"Substance abuse",1,0.108058553275651
"17",2009,"Surgery",8,0.203374587900703
"18",2009,"Toxicology",2,0.10756269195261
"19",2010,"Cardiac & cardiovascular systems",1,0.20794524501651
"20",2010,"Clinical neurology",9,0.131268777553967
"21",2010,"Dermatology",1,0.0900341719756184
"22",2010,"Endocrinology & metabolism",6,0.190370874519844
"23",2010,"Infectious diseases",8,0.179939639479728
"24",2010,"Medicinal chemistry",1,0.113501458068524
"25",2010,"Medicine, research & experimental",34,0.168764543784187
"26",2010,"Nutrition & dietetics",1,0.0622984186498061
"27",2010,"Obstetrics & gynecology",6,0.201385732285986
"28",2010,"Oncology",9,0.337514809542227
"29",2010,"Parasitology",9,0.269668437670491
"30",2010,"Pharmacology & pharmacy",2,0.178860958606524
"31",2010,"Physiology",1,0.11139449534156
"32",2010,"Psychiatry",3,0.107687431411941
"33",2010,"Public, enviromental & occupational health",1,0.105518676947824
"34",2010,"Rheumatology",1,0.0951842252625031
"35",2010,"Surgery",3,0.200696535576596
"36",2010,"Toxicology",2,0.110158115841517
"37",2011,"Cardiac & cardiovascular systems",5,0.172957086542383
"38",2011,"Clinical neurology",7,0.11716875020664
"39",2011,"Dermatology",1,0.0657579701446309
