;Nuevo ID;Titulo_de_Documento;Abstract;Titulo_Revista;Ano;Tipo_Documento;Disciplina;Test;key1;key2;key3;key4;key5;Categoria_1;Frecuencia_1;j_1;Porcentaje;Cluster_15;Cluster_8;Cluster_20;lda_10;lda_30;lda_45
1228;389;Relationship between oxidative stress-related biomarkers and antioxidant status with asthma and atopy in young adults: a population-based study;Background and aim: Enhanced oxidative stress Has Been Described in adults suffer from symptoms of WHO asthma and poor lung function. This study Assessed the relation Between Oxidative Stress and markers of antioxidant status and lung function, symptoms of asthma, atopy and bronchial hyperresponsiveness (BHR) in young adults. Methods: A sub-sample of 589 aged 22-28 years Individuals, selected from a total number of 1232 included in a survey Assessing early and current risk factors for chronic diseases, participated in the study. Were participants from an agricultural area of <U+200B><U+200B>Chile, respond to a Spanish version of the European Community Respiratory Health Survey questionnaire, skin Were to eight allergens tested, and challenged ASSESS BHR to methacholine With. Five hundred and eighty-five Individuals ADH Measures of plasma biomarkers ferric reducing ability of plasma uric acid, protein carbonyls and 564 HAD 8-iso-prostaglandin F2 alpha (8-iso-PGF2a) Assessed. Results: All participants HAD detectable plasma 8-iso-PGF 2 and carbonyl levels. There was no indication for an association Between markers of antioxidant status or oxidative stress With any of the outcomes Studied. Conclusion: The levels of oxidative stress-related biomarkers and antioxidant status in plasma May not be related to asthma in the overall population in the absence of more severe symptoms or exacerbations. © 2009 The Authors.;CLINICAL AND EXPERIMENTAL ALLERGY;2009;Artículo;Allergy;0;assess;oxid;plasma;stress;antioxid;;0;0;0;2;5;13;10;10;32
1229;528;Topical cocaine vs adrenaline in endoscopic sinus surgery: a blinded randomized controlled study;Background: Adequate surgical field visualization is Among the Most Important Factors in Preventing complications in functional endoscopic sinus surgery (FESS). The aim of study was to esta ASSESS the effect of adrenaline on topical cocaine vs surgical field visualization and intraoperative bleeding During FESS. Methods: A randomized controlled trial was Conducted. A Total of 37 Patients underwent That FESS for chronic rhinosinusitis Were randomized to the side of the nose That received adrenaline or cocaine-soaked patties, and the side That was operated first. The surgeon Evaluating the bleeding was blinded to the allocation vasoconstrictor. At the commencement of surgery and at a regular 15-minute intervals, the operating surgeon EVALUATED the extent of bleeding in the operative field ACCORDING to a validated scale. At each assessment, mean arterial pressure (MAP), heart rate, and end tidal CO2 Were Also recorded. At the end of each side, the total blood loss was Measured. Results: There was no difference in the mean scores Between the surgical field adrenaline and cocaine sides (2.04 ± 0.75 vs 2.17 ± 0.7, p = 0.24), nor the Total blood loss (p = 0.43). On the cocaine side, there was a surgical field Correlation between grade and duration of surgery (p & lt 0.05) as well as blood loss (p & lt 0.05) and MAP (p & lt 0.05). Conclusion: There is no difference in the quality of the surgical field through the use of Achieved topical cocaine or adrenaline During FESS. Either of These agents can be used for topical decongestion Effectively at the onset of surgery. © ARS-AAOA 2014, LLC.;INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY;2014;Artículo;Allergy;0;field;cocain;side;surgic;adrenalin;;0;0;0;11;7;11;7;14;5
1230;1045;Causes of failure in endoscopic frontal sinus surgery in chronic rhinosinusitis patients;Background: The frontal sinus is The most challenging area to address in endoscopic sinus surgery (ESS). Incomplete surgery or iatrogenic injury in the narrow space of the frontal recess With synechia formation can lead to recurrence or persistence of disease. The goal of esta study was to Identify causes of failure of endoscopic frontal sinus surgery and to determine complication rates. Methods: A cross-sectional study was Conducted retrospective. Charts and preoperative sinus computed tomography (CT) scans of WHO Patients underwent ESS for review frontal frontal chronic rhinosinusitis, Between 2006 and 2012 Were reviewed. Results: Of 829 Patients underwent ESS WHO During the study period, 740 Had the frontal recess and frontal sinus dissected opened. Of these, 66 Patients ADH Revision surgery of the frontal sinus, with a total number of 109 frontal sinuses. The mean ± standard deviation (SD) age was 52 ± 12.9 years. Patients Forty male Were (59.1%). The most common findings Were the following: edematous or hypertrophic mucosa (92.7%) Agger nasi retained cell (73.4%) neo-osteogenesis Within the front recess (45.9%) side of the middle turbinate scarring (47.7%) anterior ethmoid air cell residual (32.1%.) and residual frontal cells (24.8%). Conclusion: With the exception of mucosal disease and neo-osteogenesis, all Identified causes of failure of frontal sinus surgery are a result of surgical technique. Careful preoperative planning and meticulous and complete surgical execution are critical for a successful THEREFORE surgical outcome in primary frontal sinus surgery. © ARS-AAOA 2014, LLC.;INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY;2014;Artículo;Allergy;0;frontal;sinus;surgeri;ess;recess;;0;0;0;8;8;12;7;26;5
1231;1123;First annual register of allergenic pollen in Talca, Chile;Background: There are no data on atmospheric pollen in Talca. In the present work, our aim is to describe the amount of pollen grain in the atmosphere of the city of Talca likely to cause pollinosis of Its inhabitants. Methods: A volumetric Hirst sampler (Burkard seven-day recording device) was used to study pollen levels. It was Placed In the center of Talca from May 2007 to April 2008. Results: The highest airborne presence of pollen, as Measured in weekly averages, Platanus acerifolia was with a maximum daily average of weekly 203grains / m3 During September and October registered. The second highest was Acer pseudoplatanus with a maximum daily average of weekly 116grains / m3. Populus spp. had a daily average maximum weekly 103grains / m3. Reached Olea europaea 19grains / m3 in November. Grasses presented high levels of pollen counts with a maximum daily average of weekly 27grains / m3 from the end of August the end of January Until. Pollens of Plantago spp. Rumex acetosella and Chenopodium spp. had a like distribution and Were present from April to October With maximum weekly average of daily 7grains / m3, 7grains / m3 and 3grains / m3 respectively. Significant Concentrations of Ambrosia artemisiifolia Were detected from April Until February. Conclusion: The population of Talca was exposed to high Concentrations of allergenic pollen, Such as P. acerifolia, A. pseudoplatanus, and grasses in the months of August through November. The detection of O. europaea and A. artemisiifolia is as Important These are emergent pollens in the city of Talca. Aerobiological monitoring will Provide the Community with reliable information About the level of allergenic pollens, Improving treatment and quality of life of Patients With respiratory allergy. © 2011 SEICAP.;ALLERGOLOGIA ET IMMUNOPATHOLOGIA;2013;Artículo;Allergy;0;grain;pollen;averag;week;daili;;0;0;0;12;6;12;1;6;23
1232;3188;Parietaria pollen a new aeroallergen in the city of Valparaiso, Chile;Parietaria pollen has never been Considered as a significant cause of pollinosis in Chile THEREFORE, the sensitization to Parietaria study has never been included in the study of Patients With clinical suspicion of pollinosis in This region. The objective of esta study was to describe the clinical Characteristics of pollinosis Caused by Parietaria in the Valparaiso region, related to air Concentrations of This Kind of pollen. A cross-sectional study was performed in the city of Valparaiso. It consisted of two stages: In the first, pollen grains Were Counted Between 1999 and 2001. In the second, a profile sensitization on a patient population diagnosed With ARC (allergic Rhinoconjunctivitis) was EVALUATED. Parietaria judaica (P. judiaca) presented pollination all year long, with aggravation in the spring and summer, and With values <U+200B><U+200B>reaching 80 grains / m3 (average weekly). These findings determined to the transience of the symptoms In This population, Which is mainly seasonal perennial With aggravations. A Total of 72 atopic subjects Were Obtained During the whole sample period recollection. P. judaica was the cause of frequent MOST second sensitization (60%) in the sample after Dermatophagoides overall. Also, in monosensitized subjects, it was the first cause of pollen sensitization. Judaic P. Represents the second cause of allergy in Valparaiso and the first cause of pollinosis. These findings Suggest The Importance of Quantifying Parietaria in Valparaiso and near cities, plus the presence of investigating symptoms and sensitization to allergies in a significant proportion of Patients in This region. © 2 Springer Science + Business Media Dordrecht.;AEROBIOLOGIA;2013;Artículo;Allergy;0;caus;parietaria;sensit;pollen;pollinosi;;0;0;0;12;6;12;1;6;23
1233;3272;Allergy-induced preterm labor after the ingestion of shellfish;Preterm parturition is a syndrome Caused by Several Mechanisms of disease, intrauterine infection Including / inflammation, uteroplacental ischemia, overdistension uterine, cervical disease, maternal / fetal stress, abnormal allogeneic responses, allergic reactions, and unknown insults. An allergic-like mechanism was Proposed as a potential etiology for the preterm parturition syndrome, based on the observation That eosinophils Were present in the amniotic fluid in a fraction of Women with preterm labor and a history of allergy, coupled With the observation That conditioned media from degranulated mast cells (the effector cells of type 1 hypersensitivity) induced human myometrial contractility of strips. This communication describe a case of a pregnant woman Who Had an allergic reaction and regulate uterine contractions after the ingestion of lobster meat, to Which She Was Known to be allergic. Preterm labor subsided after the treatment of antihistamines and steroids. The patient subsequently delivered at term. At follow-up, the child was diagnosed With atopy and asthma, and required frequent use of inhaled corticosteroids and ß-2 adrenergic agents. The immunological basis for preterm labor induced by an allergic-like reaction (hypersensitivity) is reviewed. © 2 Informa UK Ltd.;JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE;2010;Artículo;Allergy;0;allerg;preterm;labor;reaction;hypersensit;;0;0;0;8;8;12;3;30;43
1217;1505;In vivo relationship between pelvis motion and deep fascia displacement of the medial gastrocnemius: anatomical and functional implications;Have Different authors modeled myofascial tissue over a distance connectivity using cadaveric models, but InVivo models are scarce. The aim of study was to esta Evaluate the relationship Between pelvic motion and deep fascia medial gastrocnemius displacement in the (MG). Deep fascia displacement of the MG was EVALUATED through automatic tracking With an ultrasound. Angular variation of the pelvis was Determined by 2D kinematic analysis. The average maximum displacement and pelvic fascia 1,501 +/- 0.78mm Were motion and 6.55 +/- 2.47 degrees, respectively. The result of a simple linear regression Between fascia and pelvic motion displacement for three Executions by 17 task was r = 0.791 Individuals (P <0.001). , Moreover, hamstring flexibility was related to a lower anterior tilt of the pelvis (r = 0.544, P <0.024) and a lower deep fascia displacement of the MG (r = 0.449, P <0.042). These results support the concept of myofascial tissue connectivity over a distance in an invivo model, Reinforce the functional concept of force transmission through synergistic muscle groups, and grant new perspectives for the role of fasciae in Restricting movement in remote zones.;JOURNAL OF ANATOMY;2015;Artículo;Anatomy & morphology;0;fascia;displac;deep;motion;pelvic;;0;0;0;12;6;12;7;26;13
1218;1975;Adipose Tissue Derived Stem Cells;In order to regenerate organs and functions has Become Known to the stem cells. Adult Stem Cells That Have the advantage can be Obtained from adult Individuals without the ethical problems That Brings The Use of embryonic cells. Obtaining stem cells from adipose tissue (ASCs) You've Been a revolution can be Because These cells in large quantities Obtained With minimal discomfort and even With Local anesthesia. Comparing the ASCs versus stem cells derived from bone marrow (BM-MSCs) Their Characteristics and potential for phenotypic differentiation are very like. In This review we focus on the technique for Obtaining ASCs, ITS molecular Characteristics, Their capacity for differentiation in mesodermal and non-mesodermal lineages, the MOST Relevant preclinical and clinical trials Executed At this time, as well as prospects for future use.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2010;Artículo;Anatomy & morphology;0;obtain;stem;asc;adult;can;;0;0;0;12;6;12;6;3;37
1219;2395;Boron as Testicular Toxicant in Mice (Mus domesticus);It Has Been Reported That causes changes in boron various systems, the male reproductive system Including. Residents in some towns in northern Chile Were consuming a few years ago in the drinking water 20 times more than the amount established as permissible limit by WHO. This study Evaluates the effects in an Animal Model of high intake of boron on the testis. Boron was administered in the drinking water. Twenty male mice (Mus domesticus), sexually mature, Were used, divided into two groups: the experimental group was at a dose Given Boron of 12 mg / L, and the Control group 0.6 mg / L, for 42 days. Sections of testis Were Obtained for: HE staining (Morphometry and Histopathology) Immunohistochemistry (Cox-2), and Picrosirious Mallory stain (tunica albuginea of <U+200B><U+200B>evaluation). The results Indicate That ingestion of a dose of 12 mg Boron / L produces vacuolization, tubular epithelial desquamation and tamponade. Morphometry revealed tubular epithelial height and diameter Decreased and lumen diameter and interstitial Increased area in the exposed group. Immunodetection of COX-2 was positive in a high percentage of tubules in the intoxicated group. The tunica albuginea was thinner, with Decreased percentage of type I collagen fibers and an Increase in the percentage of type III collagen fibers in animals exposed to boron in contrast to the Control group. Exposure to critical levels of boron produces severe histopathological changes in the testis, altering morphometric parameters and Causing overexpression of Cox-2. Finally, evaluation of collagen fibers Boron Suggests That produced a degradation of the tunica albuginea of <U+200B><U+200B>the collagen, Causing a decrease in the thickness of it and altering the percentage ratio Collagen I / III collagen, a process called collagenolysis.;INTERNATIONAL JOURNAL OF MORPHOLOGY;2012;Artículo;Anatomy & morphology;0;boron;collagen;percentag;albuginea;caus;;0;0;0;12;6;12;6;23;10
1220;2521;Comparative morphology of Liolaemus lizards precloacal glands;Liolaemid lizards and amphisbaenids Have precloacal pores in the anterior border of the cloaca, drain and epidermal glands Where expel pheromonal secretions. Usually Occur precloacal glands only in evils, but in few species Those Where Both sexes Have precloacal glands, are larger in evils These. Only the morphology and / or histology of precloacal glands of amphisbaenids Have Been described, and it is unknown Whether in lizards These glands differ across ages, sexes and / or species, and if the lack of pores is associated with a lack of glands. We Investigated for the first time the morphology and histology of lizard precloacal Glands, by studying three species Liolaemus That Differ in the presence of pores in Their cloaca: L. irregularis, in adults and juveniles Which of Both Sexes Have pores L. poecilochromus, in Which only adult diseases Have pores, and L. neuquensis, in Which the adults of Both Sexes LACK pores. Results show the number of pores That Varies Among species and sexes, but not between ages of a species. Adults, but not juveniles, of L. irregularis have sexual dimorphism in pore sizes These are larger in evil than in females. In Addition, pores are larger in adult diseases of L. irregularis than in L. poecilochromus. Glands are tubuloalveolar With holocrine secretion, Having a similar structure across Individuals, Have evils, Although adult females and larger glands than juveniles. Finally, the structure of Liolaemus precloacal glands is very similar to Those of the amphisbaenid precloacal femoral glands and the glands of other lizard species. © Firenze University Press.;ACTA HERPETOLOGICA;2014;Artículo;Anatomy & morphology;0;gland;pore;precloac;adult;sex;;0;0;0;12;6;12;6;1;11
