n;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10
1;dose;iron;age;surgeri;tumor;infect;protein;protein;age;induc
2;pain;subject;weight;clinic;respons;gene;women;process;health;protein
3;hpv;present;women;perform;mice;cruzi;cancer;stress;risk;receptor
4;inf;test;children;surgic;show;dna;pcos;neuron;clinic;activ
5;test;hear;higher;treatment;specif;pcr;insulin;activ;chile;signal
6;treatment;show;obes;mean;anti;mutat;compar;behavior;treatment;inhibit
7;combin;time;bmi;complic;growth;genotyp;endometri;suggest;care;rat
8;chronic;popul;plasma;follow;human;allel;ovarian;observ;children;respons
9;lung;observ;activ;present;deriv;polymorph;show;show;countri;stress
10;present;system;risk;gastric;tccrt;genet;gene;present;assess;depend
