n;Topic 1;Topic 2;Topic 3;Topic 4;Topic 5;Topic 6;Topic 7;Topic 8;Topic 9;Topic 10;Topic 11;Topic 12;Topic 13;Topic 14;Topic 15;Topic 16;Topic 17;Topic 18;Topic 19;Topic 20;Topic 21;Topic 22;Topic 23;Topic 24;Topic 25;Topic 26;Topic 27;Topic 28;Topic 29;Topic 30
1;stress;infect;zinc;women;pain;treatment;induc;cancer;ich;insulin;neuron;germ;surgeri;voic;adolesc;perform;protein;gene;asthma;extract;mutat;week;alcohol;health;rotavirus;tccrt;cruzi;risk;gene;children
2;oxid;rsv;iron;insulin;inf;sga;activ;risk;lesion;glucos;hpv;evalu;gastric;present;pregnanc;clinic;igf;popul;pneumocysti;channel;gene;treatment;ethanol;medic;norovirus;parasit;infect;surviv;protein;liver
3;activ;sever;time;age;interact;compar;kinas;age;clinic;resist;receptor;apoptosi;surgic;hypoxia;behavior;treatment;growth;strain;repair;acid;polymorph;respons;intak;care;visual;infect;parasit;regener;iron;obes
4;induc;infant;absorpt;higher;test;outcom;stimul;women;vitamin;glut;ryr;plant;oper;acoust;adopt;cours;mrna;genet;symptom;show;allel;methotrex;lung;student;children;tumor;pcr;stem;stress;weight
5;death;virus;paramet;pcos;combin;posit;inhibit;chile;coronari;muscl;induc;fgf;loss;tau;hair;leak;regul;genotyp;gbp;activ;syndrom;testosteron;consumpt;chile;episod;anti;chaga;scaffold;oxid;age
6;plasma;pcr;concentr;compar;drug;receiv;rat;breast;infarct;popul;protein;exposur;follow;subject;adhes;follow;phosphoryl;allel;popul;sampl;genet;therapi;rat;disord;sever;cruzi;dna;tissu;mitochondri;nutrit
7;antioxid;cytokin;imag;metabol;dose;random;protein;mortal;ngf;prison;bdnf;hla;postop;signific;show;exercis;signal;sequenc;sensit;shellfish;clinic;mtx;arsenic;depress;clinic;inhibit;trypanosoma;receiv;function;girl
8;acid;respons;healthi;endometri;antinocicept;blood;muscl;hospit;score;size;vaccin;correl;hear;melatonin;problem;time;pathway;variant;test;assay;children;baselin;etoh;assess;fixat;calreticulin;transmiss;good;neuron;bmi
9;reperfus;blood;subject;bmi;respons;dose;signal;factor;observ;sensit;respons;time;perform;altitud;pulmonari;improv;may;chilean;chile;toxin;tumor;male;exposur;clinic;vaccin;interact;show;dermal;develop;evalu
10;pufa;cap;tear;risk;opioid;aga;depend;relat;hemorrhag;number;function;compar;bypass;determin;develop;mean;gene;isol;clinic;concentr;receptor;evil;expos;social;age;human;sampl;vascular;pathway;bodi
;;Infecciosas;;Ginecologia;Anestesia;;;;;;;;;fonoaudiología;;;;;;;;;;;;;;;;Nutrición (infantil)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Allergy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Anatomy & morphology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Andrology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Anesthesiology;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Audiology & Speech-Language pathology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Biomedical social sciences;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cardiac & cardiovascular systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Clinical neurology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Clinical psycology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Critical care medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dentistry, oral surgery & medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Dermatology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Education;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Emergency medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endocrinology & metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gastroenterology & hepatology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Geriatrics & gerentology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Health care sciences & services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Health policy & services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hematology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Infectious diseases;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Inmunology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
