"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35"
"1","cruzi","oxid","age","induc","develop","iron","protein","protein","concentr","gene","infect","acid","diabet","cancer","parasit","treatment","posit","obes","hospit","pulmonari","neuron","fetal","health","diagnosi","imag","respons","surgeri","depress","pcos","children","pain","strain","pregnanc","voic","exposur"
"2","infect","liver","risk","protein","stage","rat","neuron","insulin","toxin","mutat","rsv","cost","polymorph","tumor","cruzi","random","subject","children","treatment","hypertens","rat","growth","care","clinic","can","infect","surgic","sexual","ovarian","infect","dose","gene","birth","flap","sleep"
"3","pcr","stress","women","receptor","morpholog","ethanol","stress","endometri","sampl","genet","sever","product","allel","surviv","infect","trial","activ","weight","therapi","lung","receptor","sga","chile","present","review","hiv","complic","score","women","hospit","drug","isol","women","tax","male"
"4","chile","activ","popul","signal","system","alcohol","autophagi","glucos","extract","famili","infant","fatti","blood","breast","migrat","clinic","task","bodi","transplant","heart","brain","igf","countri","report","develop","immun","oper","test","hormon","pneumonia","test","resist","mother","ngf","temperatur"
"5","sampl","induc","chile","depend","fiber","contain","function","pcos","show","sequenc","respiratori","fish","genotyp","prostat","membran","placebo","edg","bmi","mortal","asthma","behavior","placenta","program","lesion","techniqu","vaccin","perform","assess","girl","age","administr","type","matern","tsp","hypoxia"
"6","parasit","antioxid","among","activ","larva","anim","mechan","women","protein","popul","pcr","oil","stroke","stage","tccrt","week","attent","age","renal","arteri","stress","placent","medic","diagnos","system","anti","laparoscop","valid","age","clinic","extract","activ","pregnant","vessel","rat"
"7","genotyp","plasma","factor","inhibit","hair","induc","process","mrna","shellfish","identifi","alpha","adren","frequenc","carcinoma","adhes","improv","emg","nutrit","follow","function","hippocamp","gestat","public","diagnost","new","dcs","gastric","disord","compar","risk","mice","human","malform","ham","testicular"
"8","consumpt","reperfus","preval","phosphoryl","auditori","copper","role","receptor","time","variant","virus","consumpt","pressur","lung","activ","receiv","present","food","clinic","left","memori","hypoxia","develop","old","base","antigen","postop","age","concentr","caus","combin","show","congenit","show","evil"
"9","dna","injuri","men","beta","show","regener","regul","epitheli","acid","genom","cap","dha","type","malign","show","therapi","side","measur","age","measur","synapt","compar","research","syndrom","death","specif","techniqu","adolesc","testosteron","episod","interact","coli","risk","arteri","expos"
"10","chaga","ischemia","higher","mitochondri","embryo","intak","respons","regul","determin","found","phase","protein","cypa","treatment","mechan","assess","schizophrenia","mass","failur","pressur","bdnf","pregnanc","educ","symptom","describ","viral","procedur","scale","higher","chile","activ","protein","newborn","acoust","rem"
