;ID;Título;Revista;Disciplina;;;;;
Abstract;51;Expression of voltage-activated calcium channels in the early zebrafish embryo;ZYGOTE;Public, enviromental & occupational health;;;;;
Abstract;56;Bone Scintigraphy in Children With Cat Scratch Disease;CLINICAL NUCLEAR MEDICINE;Radiology, nuclear medicine & medical imaging;;;;Etiquetas de fila;Cuenta de ID
Abstract;109;Comparative Study of CSF Neurofilaments in HTLV-1-Associated Myelopathy/Tropical Spastic Paraparesis and Other Neurological Disorders;AIDS RESEARCH AND HUMAN RETROVIRUSES;Clinical neurology;;;;0;26
Abstract;145;Tumour necrosis factor (TNF)alpha-308 G/G promoter polymorphism and TNF alpha levels correlate with a better response to adalimumab in patients with rheumatoid arthritis;SCANDINAVIAN JOURNAL OF RHEUMATOLOGY;0;;;;Andrology;2
Abstract;167;Size at birth and lipoprotein concentrations in adulthood: two prospective studies in Latin American cities;JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH;Biomedical social sciences;;;;Biomedical social sciences;1
Abstract;184;Changes in Rab3D Expression and Distribution in the Acini of Sjogren's Syndrome Patients Are Associated With Loss of Cell Polarity and Secretory Dysfunction;ARTHRITIS AND RHEUMATISM;Rheumatology;;;;Clinical neurology;2
Abstract;187;Influence of Jaw Clenching and Tooth Grinding on Bilateral Sternocleidomastoid EMG Activity;CRANIO-THE JOURNAL OF CRANIOMANDIBULAR PRACTICE;Dentistry, oral surgery & medicine;;;;Dentistry, oral surgery & medicine;1
Abstract;289;Nerve Growth Factor Induces Vascular Endothelial Growth Factor Expression in Granulosa Cells via a trkA Receptor/Mitogen-Activated Protein Kinase-Extracellularly Regulated Kinase 2-Dependent Pathway;JOURNAL OF CLINICAL Endocrinology & metabolism;Endocrinology & metabolism;;;;Endocrinology & metabolism;2
Abstract;438;Symptomatic and Asymptomatic Rotavirus and Norovirus Infections During Infancy in a Chilean Birth Cohort;PEDIATRIC INFECTIOUS DISEASE JOURNAL;Infectious diseases;;;;Infectious diseases;2
Abstract;461;HIV-1 tropism: a comparison between RNA and proviral DNA in routine clinical samples from Chilean patients;VIROLOGY JOURNAL;Infectious diseases;;;;Medicine, research & experimental;4
Abstract;502;Acid-Labile Subunit (ALS) Gene Expression and Protein Content in Human Placentas: Differences According to Birth Weight;JOURNAL OF CLINICAL Endocrinology & metabolism;Endocrinology & metabolism;;;;Nutrition & dietetics;1
Abstract;578;Pan-American League of Associations for Rheumatology (PANLAR) Recommendations and Guidelines for Musculoskeletal Ultrasound Training in the Americas for Rheumatologists;JCR-JOURNAL OF CLINICAL RHEUMATOLOGY;Rheumatology;;;;Obstetrics & gynecology;1
Abstract;654;Alpha-tocopherol microspheres with cross-linked and acetylated inulin and their release profile in a hydrophilic model;EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY;Medicine, research & experimental;;;;Oncology;2
Abstract;657;Modelling of air pollution dispersion in Santiago de Chile;ATMOSPHERIC ENVIRONMENT;0;;;;Ophtalmology;1
Abstract;796;Evolution of the nutritional situation of indigenous and non-indigenous Chilean schoolchildren;ANNALS OF HUMAN BIOLOGY;Nutrition & dietetics;;;;Pharmacology & pharmacy;2
Abstract;813;A 13-Week, Randomized Double-Blind, Placebo-Controlled, Cross-Over Trial of Ziprasidone in Bipolar Spectrum Disorder;JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY;0;;;;Public, enviromental & occupational health;1
Abstract;831;Iron overload-modulated nuclear factor kappa-B activation in human endometrial stromal cells as a mechanism postulated in endometriosis pathogenesis;FERTILITY AND STERILITY;Obstetrics & gynecology;;;;Radiology, nuclear medicine & medical imaging;1
Abstract;910;Frequencies of 23 functionally significant variant alleles related with metabolism of antineoplastic drugs in the chilean population: Comparison with caucasian and asian populations;FRONTIERS IN GENETICS;Oncology;;;;Rheumatology;3
Abstract;1284;Effect of gamma irradiation on the microbiological quality of minimally processed vegetables;ARCHIVOS LATINOAMERICANOS DE NUTRICION;0;;;;Surgery;1
Abstract;1286;NFAT5 Is Activated by Hypoxia: Role in Ischemia and Reperfusion in the Rat Kidney;PLOS ONE;Medicine, research & experimental;;;;Tropical medicine;1
Abstract;1337;Clinical and genetic features of hereditary periodic fever syndromes in Hispanic patients: the Chilean experience;CLINICAL RHEUMATOLOGY;Rheumatology;;;;Total general;54
Abstract;1353;A comparative bioavailability study of two formulations of pregabalin in healthy chilean volunteers;THERAPEUTIC ADVANCES IN CHRONIC DISEASE;Clinical neurology;;;;;
Abstract;1370;A novel dihydropyridine with 3-aryl meta-hydroxyl substitution blocks L-type calcium channels in rat cardiomyocytes;TOXICOLOGY AND APPLIED PHARMACOLOGY;Pharmacology & pharmacy;;;;;
Abstract;1379;Development of de-novo Barrett's esophagus after esophagogastric surgery in human subjects;EUROPEAN SURGERY-ACTA CHIRURGICA AUSTRIACA;Surgery;;;;;
Abstract;1427;Transmission Dynamics of Trypanosoma cruzi Determined by Low-Stringency Single Primer Polymerase Chain Reaction and Southern Blot Analyses in Four Indigenous Communities of the Sierra Nevada de Santa Marta, Colombia;AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE;Tropical medicine;;;;;
Abstract;1585;Adaptación y validación de un cuestionario para evaluar contratransferencia en una sesión;REVISTA CHILENA DE NEURO-PSIQUIATRIA;0;;;;;
Abstract;1596;Arsenic speciation in water samples containing high levels of copper: removal of copper interference affecting arsine generation by continuous flow solid phase chelation;ANALYTICAL AND BIOANALYTICAL CHEMISTRY;0;;;;;
Abstract;1597;Neonatal exposure to estradiol valerate programs ovarian sympathetic innervation and follicular development in the adult rat;BIOLOGY OF REPRODUCTION;0;;;;;
Abstract;1733;Percepciones y experiencias del inicio sexual desde una perspectiva de género, en adolescentes consultantes en un centro universitario de salud sexual y reproductiva;REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA;0;;;;;
Abstract;1808;Beta(2)-adrenergic receptor regulates cardiac fibroblast autophagy and collagen degradation;BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE;0;;;;;
Abstract;2067;BONE MINERAL DENSITY AND ADEQUACY OF DIETARY PATTERN OF PATIENTS WITH CHRONIC KIDNEY DISEASE IN HEMODIALYSIS;NUTRICION HOSPITALARIA;0;;;;;
Abstract;2239;Malignant melanoma in Chile: different site distribution between private and state patients;BIOLOGICAL RESEARCH;0;;;;;
Abstract;2330;Body distribution and density of acquired melanocytic nevi in adolescents of low socioeconomic stratus of Santiago, Chile;REVISTA MEDICA DE CHILE;0;;;;;
Abstract;2533;Application of copper bactericidal properties in medical practice;REVISTA MEDICA DE CHILE;0;;;;;
Abstract;2626;Influencia de componentes de la matriz extracelular en la agresividad y potencial invasor del cáncer cérvicouterino: ¿Qué hay de nuevo?;REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA;0;;;;;
Abstract;2835;Modulatory effects of histamine on cat carotid body chemoreception;RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY;0;;;;;
Abstract;2875;MV-mediated delivery of the transcription factor XBP1s into the striatum reduces mutant Huntingtin aggregation in a mouse model of Huntington's disease;BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS;0;;;;;
Abstract;3342;Neurolisteriosis: Descripción de siete casos;REVISTA CHILENA DE NEURO-PSIQUIATRIA;0;;;;;
Abstract;3498;Risk Profiles and Penetrance Estimations in Multiple Endocrine Neoplasia Type 2A Caused by Germline RET Mutations Located in Exon 10;HUMAN MUTATION;Oncology;;;;;
Abstract;3963;Greater prevalence of Y chromosome Q1a3a haplogroup in Y-microdeleted Chilean men: a case-control study;JOURNAL OF ASSISTED REPRODUCTION AND GENETICS;Andrology;;;;;
Abstract;3970;Ultrasound Biomicroscopic Analysis of Iris-Sutured Foldable Posterior Chamber Intraocular Lenses;AMERICAN JOURNAL OF OPHTHALMOLOGY;Ophtalmology;;;;;
Abstract;4123;Tumor borderline mucinoso ovárico gigante con microinvasión;REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA;0;;;;;
Abstract;4136;Pólipos endometriales: Manejo con histeroscopia quirúrgica y correlación histológica;REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGIA;0;;;;;
Abstract;4216;Early steroid withdrawal in pediatric renal transplant on newer immunosuppressive drugs;PEDIATRIC TRANSPLANTATION;0;;;;;
Abstract;4302;The effect of opioid antagonists on synergism between dexketoprofen and tramadol;PHARMACOLOGICAL RESEARCH;Pharmacology & pharmacy;;;;;
